epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.7377,1.45295,1.53376,0.9663,0.38411,0.30403,0.29042,0.17361,1.28675,1.17769,0.91043,0.00332407,0.00332407,0.00332407
2,163.797,1.4239,1.15658,0.93823,0.41059,0.31421,0.29909,0.16979,1.44448,1.08504,0.93531,0.0065915,0.0065915,0.0065915
3,233.965,1.48896,1.19507,0.95793,0.36202,0.28548,0.26867,0.15437,1.45821,1.14769,0.95786,0.00979292,0.00979292,0.00979292
4,299.894,1.50749,1.18423,0.96689,0.40637,0.31236,0.30534,0.17635,1.37991,1.06539,0.93463,0.009703,0.009703,0.009703
5,366.074,1.42812,1.12897,0.95679,0.417,0.33263,0.31713,0.18718,1.33974,1.04329,0.92803,0.009604,0.009604,0.009604
6,432.64,1.4145,1.08041,0.94976,0.42108,0.32941,0.3222,0.19038,1.31361,1.02201,0.92354,0.009505,0.009505,0.009505
7,499.123,1.38475,1.04693,0.94828,0.44118,0.34303,0.33662,0.20092,1.30649,1.00404,0.92053,0.009406,0.009406,0.009406
8,564.667,1.36581,1.02469,0.93576,0.46008,0.33714,0.33941,0.19924,1.30618,0.97883,0.92005,0.009307,0.009307,0.009307
9,630.403,1.36513,1.01661,0.93336,0.46516,0.35006,0.3555,0.21148,1.27341,0.95839,0.91263,0.009208,0.009208,0.009208
10,697.926,1.33861,0.98823,0.93161,0.46717,0.35648,0.36046,0.21658,1.26264,0.93584,0.90973,0.009109,0.009109,0.009109
11,765.731,1.32613,0.98246,0.92756,0.45788,0.37016,0.36754,0.22062,1.24751,0.9451,0.90819,0.00901,0.00901,0.00901
12,833.5,1.31533,0.96447,0.93107,0.48463,0.37022,0.37704,0.22542,1.25165,0.92586,0.90617,0.008911,0.008911,0.008911
13,900.648,1.30453,0.94866,0.92093,0.4884,0.3648,0.37224,0.22485,1.24128,0.92537,0.90447,0.008812,0.008812,0.008812
14,969.001,1.28568,0.92723,0.92054,0.48884,0.37392,0.37739,0.23087,1.22785,0.93895,0.9008,0.008713,0.008713,0.008713
15,1037.86,1.2751,0.92723,0.91708,0.49482,0.37219,0.38638,0.23468,1.22318,0.90476,0.89869,0.008614,0.008614,0.008614
16,1104.34,1.27646,0.92186,0.91492,0.49412,0.37612,0.38177,0.23088,1.22892,0.91626,0.90025,0.008515,0.008515,0.008515
17,1169.95,1.29195,0.93495,0.91729,0.49445,0.37806,0.39127,0.23701,1.20575,0.88842,0.89747,0.008416,0.008416,0.008416
18,1235.78,1.26222,0.90092,0.90971,0.52,0.38406,0.39805,0.24183,1.20871,0.88432,0.89679,0.008317,0.008317,0.008317
19,1301.86,1.25384,0.88535,0.90677,0.51203,0.38961,0.40141,0.24237,1.19861,0.88154,0.89515,0.008218,0.008218,0.008218
20,1369.47,1.25031,0.88641,0.90575,0.50462,0.3848,0.39971,0.24441,1.19529,0.88009,0.89375,0.008119,0.008119,0.008119
21,1433.58,1.23912,0.87812,0.90735,0.52263,0.39609,0.41227,0.25271,1.1791,0.86117,0.88814,0.00802,0.00802,0.00802
22,1498.36,1.27682,0.8922,0.90933,0.50979,0.39079,0.40804,0.24926,1.18798,0.87292,0.89166,0.007921,0.007921,0.007921
23,1564.46,1.23486,0.846,0.9066,0.51718,0.39546,0.41452,0.2524,1.18158,0.85829,0.88971,0.007822,0.007822,0.007822
24,1628.66,1.19777,0.83938,0.90198,0.50622,0.40087,0.41023,0.25012,1.18539,0.85809,0.89156,0.007723,0.007723,0.007723
25,1694.32,1.24603,0.85688,0.9038,0.53818,0.38882,0.41305,0.2511,1.18228,0.85662,0.88893,0.007624,0.007624,0.007624
26,1759.73,1.2362,0.84961,0.90592,0.52926,0.40548,0.42145,0.25553,1.17433,0.84948,0.88763,0.007525,0.007525,0.007525
27,1825.37,1.22961,0.8445,0.89625,0.53152,0.40637,0.41934,0.25718,1.1722,0.84375,0.88769,0.007426,0.007426,0.007426
28,1889.61,1.2159,0.83457,0.90281,0.53891,0.40991,0.42574,0.25834,1.17469,0.83527,0.88826,0.007327,0.007327,0.007327
29,1954.31,1.19612,0.81734,0.89386,0.54025,0.40225,0.42621,0.25906,1.17576,0.83651,0.88751,0.007228,0.007228,0.007228
30,2018.98,1.21893,0.83433,0.89831,0.54269,0.40737,0.42864,0.26315,1.15665,0.82349,0.88463,0.007129,0.007129,0.007129
31,2085.99,1.19986,0.81078,0.89805,0.55592,0.4145,0.43491,0.26626,1.16692,0.82425,0.88592,0.00703,0.00703,0.00703
32,2156.41,1.20369,0.8186,0.89776,0.53435,0.41774,0.43344,0.26608,1.15772,0.81999,0.88538,0.006931,0.006931,0.006931
33,2223.73,1.17963,0.79647,0.89467,0.5416,0.41056,0.43016,0.2621,1.16043,0.82619,0.8844,0.006832,0.006832,0.006832
34,2292.76,1.19029,0.80055,0.89016,0.52879,0.41501,0.43152,0.26478,1.15966,0.82456,0.88423,0.006733,0.006733,0.006733
35,2357.51,1.19001,0.79373,0.89459,0.53916,0.41881,0.43664,0.26693,1.15994,0.81783,0.88354,0.006634,0.006634,0.006634
36,2422.29,1.18702,0.80051,0.88885,0.53941,0.41573,0.43206,0.26717,1.15821,0.82572,0.88475,0.006535,0.006535,0.006535
37,2485.67,1.15442,0.76746,0.8862,0.55182,0.40758,0.43365,0.2661,1.15228,0.81886,0.88306,0.006436,0.006436,0.006436
38,2553.25,1.16377,0.78338,0.88458,0.52504,0.42673,0.43894,0.26938,1.14478,0.81022,0.88161,0.006337,0.006337,0.006337
39,2618.62,1.17609,0.78019,0.88888,0.5528,0.42964,0.44632,0.27438,1.14608,0.8089,0.88055,0.006238,0.006238,0.006238
40,2684.08,1.16463,0.77599,0.88566,0.53499,0.42358,0.43673,0.26942,1.14378,0.8121,0.87892,0.006139,0.006139,0.006139
41,2749.19,1.16629,0.76045,0.88746,0.54615,0.4298,0.44392,0.27217,1.14344,0.80666,0.88013,0.00604,0.00604,0.00604
42,2817.18,1.16162,0.76089,0.88117,0.54816,0.42643,0.44535,0.2746,1.14378,0.80537,0.88032,0.005941,0.005941,0.005941
43,2884.93,1.18492,0.77104,0.88955,0.54253,0.4252,0.44151,0.27072,1.14271,0.80705,0.88123,0.005842,0.005842,0.005842
44,2950.26,1.18048,0.76716,0.88163,0.55657,0.42256,0.44645,0.27578,1.14016,0.80407,0.88146,0.005743,0.005743,0.005743
45,3016.5,1.14327,0.74853,0.88114,0.54825,0.42794,0.44844,0.2779,1.13415,0.79994,0.87896,0.005644,0.005644,0.005644
46,3085.49,1.15047,0.74934,0.88459,0.5509,0.4261,0.44901,0.27762,1.13333,0.79404,0.87962,0.005545,0.005545,0.005545
47,3150.15,1.12536,0.73711,0.87827,0.54844,0.42825,0.44779,0.27674,1.13432,0.80059,0.87792,0.005446,0.005446,0.005446
48,3214.24,1.1377,0.73307,0.88378,0.55774,0.43101,0.45126,0.27786,1.13408,0.79054,0.87926,0.005347,0.005347,0.005347
49,3278.57,1.14265,0.74417,0.88066,0.55346,0.43617,0.44883,0.27574,1.13939,0.79741,0.87971,0.005248,0.005248,0.005248
50,3342.41,1.13568,0.73307,0.87679,0.56017,0.43643,0.45779,0.28311,1.13045,0.78756,0.87626,0.005149,0.005149,0.005149
51,3406.45,1.14159,0.73039,0.8747,0.5615,0.43284,0.45494,0.2798,1.13072,0.78875,0.87779,0.00505,0.00505,0.00505
52,3469.89,1.14825,0.74151,0.88147,0.5657,0.43322,0.45401,0.28079,1.12963,0.78182,0.87757,0.004951,0.004951,0.004951
53,3533.99,1.13369,0.71658,0.87861,0.56586,0.43738,0.45899,0.28425,1.126,0.78205,0.8757,0.004852,0.004852,0.004852
54,3598.25,1.1154,0.72377,0.87729,0.57371,0.43408,0.45841,0.28244,1.13216,0.78161,0.87786,0.004753,0.004753,0.004753
55,3661.93,1.12083,0.72488,0.87313,0.56114,0.44326,0.45746,0.28424,1.12164,0.77866,0.87498,0.004654,0.004654,0.004654
56,3724.93,1.11936,0.7111,0.87764,0.57044,0.43823,0.45779,0.28271,1.1249,0.7817,0.87572,0.004555,0.004555,0.004555
57,3788.14,1.10254,0.70293,0.8732,0.56847,0.44096,0.46086,0.28446,1.12541,0.78032,0.87454,0.004456,0.004456,0.004456
58,3851.77,1.12044,0.70897,0.87823,0.55775,0.44711,0.46117,0.28527,1.12585,0.77882,0.87557,0.004357,0.004357,0.004357
59,3915.65,1.10645,0.69967,0.87608,0.57748,0.43955,0.46095,0.28374,1.12822,0.78259,0.87615,0.004258,0.004258,0.004258
60,3980.87,1.10894,0.69438,0.87133,0.57627,0.43716,0.46064,0.28474,1.12221,0.77532,0.87542,0.004159,0.004159,0.004159
61,4049.84,1.12338,0.69554,0.87472,0.56725,0.44027,0.45949,0.28409,1.11869,0.77989,0.87473,0.00406,0.00406,0.00406
62,4118.92,1.10662,0.6894,0.86862,0.56008,0.44367,0.46264,0.28723,1.11783,0.77356,0.87293,0.003961,0.003961,0.003961
63,4184.45,1.10167,0.69062,0.8736,0.57899,0.43789,0.46266,0.28636,1.11894,0.77609,0.87518,0.003862,0.003862,0.003862
64,4249.41,1.12162,0.68753,0.87219,0.57304,0.4406,0.46327,0.28672,1.1205,0.7726,0.87452,0.003763,0.003763,0.003763
65,4313.95,1.10487,0.68238,0.87454,0.57601,0.44284,0.46286,0.28637,1.11877,0.77387,0.87443,0.003664,0.003664,0.003664
66,4380.22,1.09983,0.68697,0.86628,0.56782,0.45177,0.4658,0.28799,1.11554,0.76936,0.87432,0.003565,0.003565,0.003565
67,4446.04,1.06645,0.6535,0.8665,0.57684,0.44227,0.46191,0.2864,1.11609,0.7763,0.87379,0.003466,0.003466,0.003466
68,4512.07,1.09162,0.66905,0.87002,0.56477,0.44599,0.46174,0.28574,1.11629,0.77448,0.87463,0.003367,0.003367,0.003367
69,4577.18,1.09604,0.66889,0.86946,0.56444,0.44898,0.46328,0.28687,1.11302,0.77084,0.87403,0.003268,0.003268,0.003268
70,4642.39,1.09021,0.66107,0.86765,0.57685,0.44191,0.46393,0.28613,1.11431,0.77686,0.87375,0.003169,0.003169,0.003169
71,4708.46,1.08737,0.65737,0.8658,0.57793,0.44455,0.46537,0.28803,1.11349,0.77489,0.87348,0.00307,0.00307,0.00307
72,4774.23,1.08945,0.65418,0.86351,0.58254,0.44365,0.46641,0.28792,1.11419,0.77636,0.87275,0.002971,0.002971,0.002971
73,4840.07,1.08453,0.66058,0.8658,0.57553,0.44761,0.46727,0.28892,1.11294,0.77447,0.87297,0.002872,0.002872,0.002872
74,4905.27,1.08731,0.6527,0.86203,0.5713,0.44651,0.46697,0.28929,1.11242,0.77382,0.87266,0.002773,0.002773,0.002773
75,4971.54,1.06766,0.6372,0.86259,0.58234,0.45061,0.47169,0.29188,1.1116,0.77169,0.87295,0.002674,0.002674,0.002674
76,5037.17,1.06905,0.63776,0.86884,0.58086,0.4471,0.46986,0.29053,1.1159,0.77264,0.8743,0.002575,0.002575,0.002575
77,5103.69,1.06642,0.64022,0.86154,0.57587,0.45197,0.46805,0.28979,1.11471,0.77221,0.87282,0.002476,0.002476,0.002476
78,5169.49,1.06955,0.63945,0.86459,0.56758,0.4545,0.4686,0.29055,1.11281,0.77407,0.87264,0.002377,0.002377,0.002377
79,5237.18,1.05811,0.6256,0.86303,0.57429,0.455,0.46848,0.28924,1.11358,0.77478,0.87263,0.002278,0.002278,0.002278
